gender;age;education_level;institution_type;IT_student;location;electricity_supply;financial_condition;internet_type;network_type;class_duration;learning_system;device;adaptivity_level;ID_student
Girl;nov-15;School;Government;No;Yes;Low;Rich;Wifi;4G;01-mar;No;Mobile;Moderate;SG242
Girl;16-20;College;Non Government;No;No;High;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN243
Girl;nov-15;School;Non Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SN244
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Wifi;4G;01-mar;No;Mobile;Moderate;SN245
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Computer;Moderate;UN246
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN247
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN248
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UG249
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Moderate;UN250
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN251
Boy;16-20;College;Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG252
Boy;21-25;University;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;UG253
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Wifi;3G;01-mar;No;Mobile;Moderate;SN254
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN255
Boy;16-20;College;Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CG256
Girl;21-25;University;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;UN257
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN258
Boy;26-30;University;Government;Yes;Yes;Low;Rich;Wifi;4G;01-mar;No;Mobile;High;UG259
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN260
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Low;UN261
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN262
Boy;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;SN263
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG264
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Wifi;4G;01-mar;No;Mobile;Moderate;SN265
Girl;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CG266
Girl;16-20;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Low;UG267
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CN268
Boy;21-25;University;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;Yes;Mobile;High;UN269
Boy;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN270
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;UN271
Boy;nov-15;School;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SG272
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN273
Girl;06-oct;School;Non Government;No;Yes;Low;Mid;Mobile Data;2G;01-mar;No;Mobile;Low;SN274
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN275
Girl;16-20;University;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;UN276
Girl;21-25;University;Government;No;No;Low;Mid;Mobile Data;2G;01-mar;No;Mobile;Low;UG277
Boy;21-25;University;Non Government;No;No;Low;Poor;Mobile Data;4G;01-mar;Yes;Mobile;Low;UN278
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SN279
Boy;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG280
Girl;16-20;College;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG281
Girl;21-25;University;Non Government;Yes;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Low;UN282
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Wifi;4G;01-mar;Yes;Computer;High;UN283
Boy;21-25;University;Non Government;No;No;Low;Mid;Mobile Data;4G;01-mar;Yes;Mobile;Moderate;UN284
Boy;21-25;College;Government;Yes;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;CG285
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN286
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN287
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN288
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN289
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN290
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN291
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN292
Girl;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;Yes;Mobile;Moderate;UG293
Girl;01-may;School;Government;No;Yes;Low;Rich;Mobile Data;4G;01-mar;Yes;Mobile;Low;SG294
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN295
Boy;21-25;University;Non Government;No;Yes;Low;Rich;Wifi;4G;03-jun;No;Tab;High;UN296
Girl;16-20;College;Government;No;No;High;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG297
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN298
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN299
Boy;21-25;University;Non Government;No;Yes;Low;Rich;Wifi;4G;03-jun;No;Computer;High;UN300
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN301
Boy;01-may;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN302
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN303
Boy;21-25;University;Government;No;No;High;Poor;Mobile Data;4G;03-jun;No;Mobile;Moderate;UG304
Girl;16-20;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Low;SN305
Boy;16-20;College;Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Tab;Moderate;CG306
Boy;nov-15;School;Non Government;No;Yes;Low;Rich;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN307
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN308
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UG309
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN310
Girl;16-20;College;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN311
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN312
Boy;nov-15;School;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN313
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CN314
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN315
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN316
Girl;21-25;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG317
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN318
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN319
Boy;nov-15;School;Non Government;No;Yes;Low;Rich;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN320
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UN321
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN322
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN323
Girl;16-20;College;Non Government;No;No;Low;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Low;CN324
Boy;21-25;University;Government;Yes;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;UG325
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN326
Boy;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SG327
Boy;21-25;University;Non Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;UN328
Girl;21-25;College;Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;CG329
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN330
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;No;Mobile;Low;UG331
Girl;21-25;University;Non Government;No;Yes;High;Poor;Wifi;4G;03-jun;No;Mobile;Low;UN332
Girl;21-25;University;Non Government;Yes;No;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UN333
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN334
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN335
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UN336
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG337
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN338
Girl;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG339
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN340
Girl;21-25;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG341
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN342
Boy;16-20;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SG343
Girl;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Computer;Low;UN344
Boy;21-25;University;Non Government;Yes;No;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UN345
Girl;26-30;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG346
Boy;06-oct;School;Non Government;No;Yes;Low;Rich;Wifi;4G;01-mar;No;Mobile;Moderate;SN347
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN348
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;03-jun;No;Mobile;Moderate;SN349
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN350
Girl;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG351
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN352
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;Yes;Computer;Moderate;UN353
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN354
Boy;16-20;College;Government;Yes;No;Low;Rich;Wifi;4G;01-mar;No;Mobile;Low;CG355
Boy;16-20;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG356
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN357
Girl;06-oct;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN358
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN359
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN360
Girl;06-oct;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;High;SN361
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Low;UN362
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN363
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Low;UN364
Boy;21-25;University;Non Government;No;Yes;Low;Rich;Wifi;4G;03-jun;No;Computer;High;UN365
Girl;16-20;College;Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;CG366
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN367
Girl;16-20;College;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;No;Mobile;Moderate;CG368
Girl;16-20;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN369
Boy;16-20;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SG370
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN371
Girl;16-20;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Low;UG372
Boy;26-30;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Moderate;UN373
Boy;21-25;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG374
Girl;06-oct;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG375
Girl;nov-15;School;Non Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SN376
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UG377
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN378
Girl;26-30;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG379
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN380
Boy;21-25;University;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;UG381
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SN382
Boy;21-25;University;Non Government;Yes;No;Low;Mid;Wifi;4G;03-jun;Yes;Computer;Moderate;UN383
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Moderate;CG384
Boy;21-25;University;Government;Yes;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;UG385
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN386
Boy;nov-15;School;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN387
Boy;26-30;University;Non Government;Yes;Yes;High;Poor;Mobile Data;3G;01-mar;Yes;Computer;Moderate;UN388
Girl;nov-15;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG389
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;High;CN390
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN391
Girl;16-20;College;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN392
Girl;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG393
Girl;16-20;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Low;SN394
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;UG395
Girl;21-25;University;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UN396
Boy;21-25;University;Non Government;Yes;Yes;Low;Rich;Wifi;4G;03-jun;No;Mobile;Low;UN397
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Wifi;4G;01-mar;Yes;Computer;High;UN398
Girl;26-30;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG399
Boy;16-20;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SG400
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Moderate;CG401
Boy;26-30;University;Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Low;UG402
Boy;16-20;College;Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CG403
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UN404
Girl;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG405
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Computer;High;UN406
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN407
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN408
Boy;26-30;University;Government;Yes;Yes;Low;Rich;Wifi;4G;01-mar;No;Mobile;High;UG409
Boy;21-25;University;Non Government;Yes;Yes;Low;Rich;Wifi;4G;01-mar;Yes;Computer;High;UN410
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Wifi;4G;01-mar;Yes;Computer;High;UN411
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN412
Girl;16-20;College;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN413
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN414
Boy;26-30;University;Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Low;UG415
Boy;16-20;College;Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;CG416
Boy;26-30;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Moderate;UN417
Boy;16-20;University;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Computer;Moderate;UG418
Girl;16-20;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Low;UG419
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN420
Girl;06-oct;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN421
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;SN422
Girl;16-20;College;Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;CG423
Boy;01-may;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN424
Girl;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG425
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN426
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Computer;High;UN427
Boy;nov-15;School;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Computer;Low;SN428
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN429
Boy;21-25;University;Government;No;No;High;Poor;Mobile Data;4G;03-jun;No;Mobile;Moderate;UG430
Girl;26-30;University;Government;Yes;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Computer;Low;UG431
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;High;SN432
Girl;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG433
Girl;21-25;University;Non Government;Yes;No;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UN434
Girl;21-25;University;Non Government;Yes;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Low;UN435
Girl;26-30;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG436
Girl;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN437
Boy;nov-15;School;Non Government;No;Yes;High;Poor;Wifi;4G;01-mar;No;Mobile;Low;SN438
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;CN439
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN440
Boy;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CN441
Girl;26-30;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG442
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN443
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN444
Girl;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;Yes;Mobile;Moderate;UG445
Boy;21-25;College;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG446
Girl;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;High;UN447
Boy;21-25;University;Non Government;Yes;Yes;Low;Rich;Wifi;4G;03-jun;No;Mobile;Low;UN448
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN449
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;03-jun;No;Mobile;Moderate;SN450
Girl;21-25;University;Non Government;Yes;Yes;Low;Rich;Wifi;4G;03-jun;No;Computer;High;UN451
Boy;01-may;School;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;SG452
Girl;16-20;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN453
Boy;21-25;University;Government;No;No;High;Poor;Mobile Data;4G;03-jun;No;Mobile;Moderate;UG454
Girl;21-25;University;Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG455
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN456
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UN457
Boy;21-25;University;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;UG458
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Wifi;3G;03-jun;No;Computer;Moderate;UN459
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN460
Boy;21-25;University;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;Yes;Mobile;High;UN461
Boy;21-25;University;Non Government;Yes;No;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;High;UN462
Boy;21-25;University;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;Yes;Mobile;High;UN463
Girl;nov-15;School;Non Government;No;Yes;Low;Rich;Wifi;3G;01-mar;No;Mobile;High;SN464
Boy;21-25;University;Non Government;Yes;No;Low;Mid;Mobile Data;3G;01-mar;Yes;Computer;Moderate;UN465
Boy;21-25;College;Government;No;No;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Low;CG466
Boy;nov-15;School;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SG467
Girl;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CG468
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Low;UN469
Boy;21-25;University;Non Government;Yes;No;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UN470
Boy;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Low;UG471
Boy;nov-15;School;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SG472
Boy;21-25;University;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;UN473
Girl;16-20;College;Non Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;CN474
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN475
Boy;21-25;University;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;Yes;Mobile;High;UN476
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN477
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SN478
Boy;26-30;University;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN479
Girl;16-20;College;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;No;Mobile;Moderate;CG480
Boy;21-25;University;Government;No;No;High;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG481
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN482
Boy;16-20;College;Government;No;Yes;High;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG483
Boy;21-25;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG484
Boy;16-20;School;Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SG485
